name,positive_percentage,negative_percentage,article count,most_positive_title,most_positive_score,most_positive_url,most_positive_date,most_positive_source,most_negative_title,most_negative_score,most_negative_url,most_negative_date,most_negative_source
AAPL,20.2,17.0,94,Apple Inc. (AAPL) Maintained at Buy as iPhone 16e and AI Investments Boost Optimism,1.0,https://finance.yahoo.com/news/apple-inc-aapl-maintained-buy-174922256.html,2025-02-28,(Insider Monkey),"UK users are losing a key Apple security feature, raising questions about the future of privacy",-0.9999990463256836,https://finance.yahoo.com/m/49610820-f78f-3ae3-a4d6-656a2a8e5ed5/uk-users-are-losing-a-key.html,2025-02-25,(CNN Business)
COF,25.0,9.4,33,Here's Why Capital One (COF) is a Strong Value Stock,1.0,https://finance.yahoo.com/news/heres-why-capital-one-cof-144010606.html,2025-02-26,(Zacks),CFPB ditches lawsuit against Capital One,-0.9476180672645569,https://finance.yahoo.com/m/5a8e11fc-66d3-3c87-b43c-ed68cba28863/cfpb-ditches-lawsuit-against.html,2025-02-28,(Banking Dive)
AMZN,27.2,10.9,96,Zoom Sees AI Momentum as Enterprise Revenue Grows,1.0,https://finance.yahoo.com/m/d7076bb3-8102-35f1-9ead-009c39629904/zoom-sees-ai-momentum-as.html,2025-02-28,(Motley Fool),Investors may be badly underestimating this long-term tailwind for Nvidia,-0.9999940395355225,https://finance.yahoo.com/news/investors-may-be-badly-underestimating-this-long-term-tailwind-for-nvidia-151717703.html,2025-02-28,(Yahoo Finance)
ABNB,43.8,11.2,82,Booking Holdings Stock Gains On Strong Q4 Results. The Travel Site Says It Will Be An AI Winner.,1.0,https://finance.yahoo.com/m/f4628741-e285-3d70-9b95-9443b661ec19/booking-holdings-stock-gains.html,2025-02-21,(Investor's Business Daily)  -5.95%,Booking Holdings Downplays Concerns That Agentic AI Platforms Will Displace It,-0.9999998807907104,https://finance.yahoo.com/news/booking-holdings-downplays-concerns-agentic-234737446.html,2025-02-20,(Skift)
META,21.5,18.3,97,"Meta Platforms, Inc. (META) Positioned for GenAI Growth with Strong Analyst Support",1.0,https://finance.yahoo.com/news/meta-platforms-inc-meta-positioned-174950890.html,2025-02-28,(Insider Monkey),"Google, Meta face penalties for anti-competitive behaviour towards South African news media",-0.9999905824661255,https://finance.yahoo.com/news/google-meta-face-penalties-anti-154135336.html,2025-02-24,(Reuters)
WBA,23.0,36.5,74,Cencora Inc (COR) Q1 2025 Earnings Call Highlights: Strong Revenue Growth and Strategic ...,1.0,https://finance.yahoo.com/news/cencora-inc-cor-q1-2025-070909483.html,2025-02-06,(GuruFocus.com),Walgreens Stock Tumbles on Dividend Suspension,-0.9999980926513672,https://www.investopedia.com/walgreens-stock-tumbles-on-dividend-suspension-8783648,2025-01-31,(Investopedia)
NFLX,30.3,6.1,100,TKO Group Holdings Inc (TKO) Q4 2024 Earnings Call Highlights: Record Revenue and Strategic ...,1.0,https://finance.yahoo.com/news/tko-group-holdings-inc-tko-072915290.html,2025-02-27,(GuruFocus.com),Why DLocal Shares Plunged This Week,-0.9999877214431763,https://finance.yahoo.com/m/05ad19bb-e21f-3280-9b64-4565a003ee19/why-dlocal-shares-plunged.html,2025-02-28,(Motley Fool)
TSLA,18.3,34.4,93,"Tesla, Inc. (TSLA) Remains a Leader in Autonomous Driving with Strong Analyst Support",1.0,https://finance.yahoo.com/news/tesla-inc-tsla-remains-leader-174904359.html,2025-02-28,(Insider Monkey),Tesla's Rough February: Shares Down 27% Amid Sales Woes and Recalls,-0.9999997615814209,https://finance.yahoo.com/news/teslas-rough-february-shares-down-181939639.html,2025-02-28,(GuruFocus.com)
COST,37.5,11.5,97,"Costco's luxury favorites, Walmart's big bet, and McDonald's egg promise: Retail news roundup",1.0,https://finance.yahoo.com/news/costcos-luxury-push-walmarts-big-100000793.html,2025-02-28,(Quartz),Krispy Kreme stock tumbles to all-time low as doughnut maker softens outlook,-0.9999815225601196,https://finance.yahoo.com/news/krispy-kreme-stock-tumbles-to-all-time-low-as-doughnut-maker-softens-outlook-211715943.html,2025-02-25,(Yahoo Finance)
MCD,29.6,30.6,99,"McDonald's fourth-quarter comparable sales top estimates, sending shares higher",1.0,https://finance.yahoo.com/news/mcdonalds-fourth-quarter-comparable-sales-125020994.html,2025-02-10,(Investing.com),McDonald's Q4 Earnings: US Sales Decline Amid Food Safety Incident,-0.9999998807907104,https://finance.yahoo.com/news/mcdonalds-q4-earnings-us-sales-183758379.html,2025-02-10,(GuruFocus.com)
DUOL,47.2,16.7,37,Duolingos English Learners Eager for AI Helped Drive Sales Beat,1.0,https://finance.yahoo.com/news/duolingo-english-learners-eager-ai-215612084.html,2025-02-28,(Bloomberg),Duolingo Stock Plunges After Q4 Earnings Miss,-0.9999969005584717,https://finance.yahoo.com/m/c83901ef-b9a1-3c6c-b18c-e36bfebaa013/duolingo-stock-plunges-after.html,2025-02-28,(Investor's Business Daily)
